Colonna 1;Colonna 2;ID;coreografia;brano;autore;richieste;info livello;info coreo 1;info coreo 2;studiate;coreografo;collaboratori;descrizione coreo
;;211;HEAVEN ON DIRT;heaven on dirt;doc walker;;ALTRE COREO;;;;;;
;;212;HEEL TOE POLKA;barn dance;mark geslison & geoff groberg;;BASE;COPPIA;CERCHIO;STUDIATA;Unknown;;32 conteggi (couple and circle)
;;213;HEYDAY TONIGHT;heyday tonight;aaron watson;;ALTRE COREO;CONTRA;;;;;
;;214;HILLBILLY GIRL;hillbilly girl;lisa mchugh;;ALTRE COREO;;;;;;
;;215;HOLD;maybe i shouldn't;matt borden;;AVANZATO 1;;;;Jgor Pasin;;96 conteggi A B A B A (32 conteggi) A (32 conteggi) B B A 16 conteggi)
;;216;HOLD ON TO ME;hold on to me;music travel love;;AVANZATO 2;;;;Pol F. Ryan;;32 conteggi 4 muri 4 restart
;;217;HOLD YOUR HORSES;hold your horses;e type;;ALTRE COREO;;;;;;
;;218;HOLLY'S CHURCH;my church;maren morris;;AVANZATO 2;;;;Mario & Lilly Hollnsteiner;;64 conteggi 4 muri
;;219;HONEY SWEET HONEY;honey honey;derek ryan & lisa mchugh;;ALTRE COREO;;;;;;
;;220;HONKY TONK WAY;i see country;ian munsick;;ALTRE COREO;;;;;;
;;221;HURRY UP SLOW DOWN;hurry up, slow down;don derby;;ALTRE COREO;;;;;;
;;222;I BELIEVE IN YOU;i believe in you;ward thomas;;ALTRE COREO;;;;;;
;;223;I TELL YOU WANT;i told you so;keith urban;;ALTRE COREO;;;;;;
;;224;INFINITY;fiddle;bomshel;;ALTRE COREO;;;;David Villelas;;
;;225;IRISH CHANGE;tell me ma;sham rock;;BASE;COPPIA;CERCHIO;STUDIATA;;;32 conteggi (couple and circle)
;;226;IRISH SPIRIT;celtic rock;david king;;SUPER AVANZATO 1+2;;;STUDIATA;;;
;;227;IRISH STEW;american land;bruce springsteen;;BASE;;;STUDIATA;Lois Lightfoot;;32 conteggi 4 muri
;;228;IRISH STEW;cowboy yodel song;cliona hagan;;BASE;;;STUDIATA;Lois Lightfoot;;32 conteggi 4 muri
